episode,portfolio_return,market_return,excess_return,steps,total_reward
1,-0.0182,-0.0363,0.018099999999999998,767,-0.01841738522208019
2,-0.0182,-0.0363,0.018099999999999998,767,-0.018342374908124015
3,-0.0182,-0.0363,0.018099999999999998,767,-0.018342374908124015
4,-0.0182,-0.0363,0.018099999999999998,767,-0.018342374908125986
5,-0.0182,-0.0363,0.018099999999999998,767,-0.01836737772094326
6,-0.0182,-0.0363,0.018099999999999998,767,-0.01836737772094326
7,-0.0182,-0.0363,0.018099999999999998,767,-0.018317372720434086
8,-0.0182,-0.0363,0.018099999999999998,767,-0.018317372720434086
9,-0.0182,-0.0363,0.018099999999999998,767,-0.018317372720434086
10,-0.0182,-0.0363,0.018099999999999998,767,-0.018392381158918725
11,-0.0182,-0.0363,0.018099999999999998,767,-0.018342374908125986
12,-0.0182,-0.0363,0.018099999999999998,767,-0.01836737772094326
13,-0.0182,-0.0363,0.018099999999999998,767,-0.018317372720434086
14,-0.0182,-0.0363,0.018099999999999998,767,-0.018342374908124015
15,-0.0182,-0.0363,0.018099999999999998,767,-0.018342374908124015
16,-0.0182,-0.0363,0.018099999999999998,767,-0.018392381158918725
17,-0.0182,-0.0363,0.018099999999999998,767,-0.018342374908125986
18,-0.0181,-0.0363,0.018199999999999997,767,-0.018292371157833862
19,-0.0182,-0.0363,0.018099999999999998,767,-0.01836737772094326
20,-0.0182,-0.0363,0.018099999999999998,767,-0.018317372720434086
